Russian, Portuguese
я,eu sou
не,não
что,o que
в,v
и,e
ты,tu
это,isto é
на,sobre
с,com
он,ele
мы,nós
как,como as
вы,tu
да,sim
мне,para mim
у,no
нет,não
меня,mim
так,então
но,mas
а,uma
его,seu
все,tudo
она,ela
тебя,tu
о,o
если,e se
за,por
бы,seria
тебе,tu
они,elas
чтобы,para
же,o mesmo
есть,há
просто,simplesmente
из,a partir de
к,para
для,para
ну,nós vamos
когда,quando
хорошо,ok
здесь,aqui
по,sobre
был,era
знаю,eu sei
то,então
только,só
всё,tudo
было,era
вас,tu
может,pode ser
нас,nós
вот,aqui
от,a partir de
быть,ser estar
кто,quem
будет,vai
почему,porque
вам,para você
их,seus
очень,muito
могу,posso
уже,já
спасибо,obrigado
или,ou
нам,nós
еще,ainda
там,lá
нужно,necessário
сейчас,agora
где,onde
чем,como as
хочу,quer
ничего,nada
этого,isto
была,era
мой,minha
ее,dela
ладно,ok
знаешь,você sabe
п,ns
до,antes
этом,isto
потому,porque
теперь,agora
думаю,pensar
больше,mais
её,dela
со,com
раз,uma vez
ему,seu
надо,necessário
время,tempo
этот,isto
ли,se
ещё,ainda
пока,enquanto
даже,até
привет,ei
сказал,disse
себя,eu mesmo
должен,deve
тоже,também
хочешь,quer
давай,vamos
что-то,algo
никогда,nunca
эй,ei
того,ir
тогда,então
него,isto
ни,ou
тут,aqui
были,estavam
конечно,certamente
правда,verdade
об,cerca de
моя,minha
пожалуйста,por favor
тобой,tu
сказать,contar
сегодня,hoje
один,1
лучше,melhor
можешь,posso
сюда,aqui
мной,mim
значит,meios
сделать,faz
всегда,sempre
дело,um negócio
можно,posso
ей,dela
должны,deve
порядке,ordem de
без,sem
день,dia
том,volume
буду,vai
делать,faço
хотел,eu queria
чего,o que
эти,esses
много,muitos
после,depois de
этим,esses
всего,total
во,no
твой,é seu
ним,isto
лет,anos
боже,deus
них,eles
сэр,senhor
ведь,afinal
мистер,senhor
жизнь,vida
потом,depois de
ней,dela
такой,tal
который,qual o
всех,tudo
через,entre
им,eles
возможно,pode ser
немного,pequeno
такое,isto
слишком,demais
себе,ele mesmo
зачем,porque
должна,deve
моей,minha
люди,pessoas
знаете,você sabe
этой,isto
думаешь,pensar
свою,minha
точно,exatamente
человек,humano
твоя,sua
под,debaixo
сказала,disse
назад,de volta
из-за,devido a
эту,isto
можем,lata
случилось,aconteceu
мама,mãe
мог,poderia
вместе,juntos
отец,pai
сделал,fez
мои,minha
кажется,parece
друг,amigo
куда,onde
никто,ninguém
поэтому,portanto
эта,isto
